Maskine;Chassis-ID;TimeDate;L/t;I alt (l);I arbejde (%);Ledig (%);Maskintimer;Produktion (ton);Ton/time;Ton/liter brændstof;Liter brændstof/ton;Antal cyklusser;Gnsnt.hastighed (km/t);Distance (km);Starter
L180H-4692 62001418-LÆ1053;L180H004692;2019-02-21;24.55;163.20;86.01;13.99;6.65;1517.20;228.15;9.268;0.108;143;10.42;69.30;6
L180H-4692 62001418-LÆ1053;L180H004692;2019-02-22;23.13;117.40;84.37;15.63;5.05;1134.80;224.71;9.641;0.104;112;10.50;53.00;8
