,Datetime,Pa
126,2019-02-21 21:00:00,1022.7
127,2019-02-21 21:10:00,1022.9333333333334
128,2019-02-21 21:20:00,1023.1666666666666
129,2019-02-21 21:30:00,1023.4
130,2019-02-21 21:40:00,1023.6333333333333
131,2019-02-21 21:50:00,1023.8666666666666
132,2019-02-21 22:00:00,1024.1
133,2019-02-21 22:10:00,1024.3666666666666
134,2019-02-21 22:20:00,1024.6333333333332
135,2019-02-21 22:30:00,1024.9
136,2019-02-21 22:40:00,1025.1666666666667
137,2019-02-21 22:50:00,1025.4333333333334
138,2019-02-21 23:00:00,1025.7
139,2019-02-21 23:10:00,1026.0166666666667
140,2019-02-21 23:20:00,1026.3333333333333
141,2019-02-21 23:30:00,1026.65
142,2019-02-21 23:40:00,1026.9666666666667
143,2019-02-21 23:50:00,1027.2833333333333
144,2019-02-22 00:00:00,1027.6
145,2019-02-22 00:10:00,1027.8999999999999
146,2019-02-22 00:20:00,1028.2
147,2019-02-22 00:30:00,1028.5
148,2019-02-22 00:40:00,1028.8
149,2019-02-22 00:50:00,1029.1000000000001
150,2019-02-22 01:00:00,1029.4
151,2019-02-22 01:10:00,1029.6666666666667
152,2019-02-22 01:20:00,1029.9333333333334
153,2019-02-22 01:30:00,1030.2
154,2019-02-22 01:40:00,1030.4666666666667
155,2019-02-22 01:50:00,1030.7333333333333
156,2019-02-22 02:00:00,1031.0
157,2019-02-22 02:10:00,1031.2333333333333
158,2019-02-22 02:20:00,1031.4666666666667
159,2019-02-22 02:30:00,1031.7
160,2019-02-22 02:40:00,1031.9333333333334
161,2019-02-22 02:50:00,1032.1666666666667
162,2019-02-22 03:00:00,1032.4
163,2019-02-22 03:10:00,1032.6166666666668
164,2019-02-22 03:20:00,1032.8333333333335
165,2019-02-22 03:30:00,1033.0500000000002
166,2019-02-22 03:40:00,1033.2666666666667
167,2019-02-22 03:50:00,1033.4833333333333
168,2019-02-22 04:00:00,1033.7
169,2019-02-22 04:10:00,1033.9333333333334
170,2019-02-22 04:20:00,1034.1666666666667
171,2019-02-22 04:30:00,1034.4
172,2019-02-22 04:40:00,1034.6333333333332
173,2019-02-22 04:50:00,1034.8666666666666
174,2019-02-22 05:00:00,1035.1
175,2019-02-22 05:10:00,1035.3166666666666
176,2019-02-22 05:20:00,1035.5333333333333
177,2019-02-22 05:30:00,1035.75
178,2019-02-22 05:40:00,1035.9666666666667
179,2019-02-22 05:50:00,1036.1833333333334
180,2019-02-22 06:00:00,1036.4
181,2019-02-22 06:10:00,1036.5833333333335
182,2019-02-22 06:20:00,1036.7666666666667
183,2019-02-22 06:30:00,1036.95
184,2019-02-22 06:40:00,1037.1333333333334
185,2019-02-22 06:50:00,1037.3166666666666
186,2019-02-22 07:00:00,1037.5
187,2019-02-22 07:10:00,1037.6833333333334
188,2019-02-22 07:20:00,1037.8666666666666
189,2019-02-22 07:30:00,1038.05
190,2019-02-22 07:40:00,1038.2333333333333
191,2019-02-22 07:50:00,1038.4166666666665
192,2019-02-22 08:00:00,1038.6
193,2019-02-22 08:10:00,1038.8333333333333
194,2019-02-22 08:20:00,1039.0666666666666
195,2019-02-22 08:30:00,1039.3
196,2019-02-22 08:40:00,1039.5333333333333
197,2019-02-22 08:50:00,1039.7666666666667
198,2019-02-22 09:00:00,1040.0
199,2019-02-22 09:10:00,1040.2
200,2019-02-22 09:20:00,1040.4
201,2019-02-22 09:30:00,1040.6
202,2019-02-22 09:40:00,1040.8
203,2019-02-22 09:50:00,1041.0
204,2019-02-22 10:00:00,1041.2
205,2019-02-22 10:10:00,1041.35
206,2019-02-22 10:20:00,1041.5
207,2019-02-22 10:30:00,1041.65
208,2019-02-22 10:40:00,1041.8
209,2019-02-22 10:50:00,1041.9499999999998
210,2019-02-22 11:00:00,1042.1
211,2019-02-22 11:10:00,1042.2166666666667
212,2019-02-22 11:20:00,1042.3333333333333
213,2019-02-22 11:30:00,1042.4499999999998
214,2019-02-22 11:40:00,1042.5666666666666
215,2019-02-22 11:50:00,1042.6833333333334
216,2019-02-22 12:00:00,1042.8
217,2019-02-22 12:10:00,1042.8166666666666
218,2019-02-22 12:20:00,1042.8333333333333
219,2019-02-22 12:30:00,1042.85
220,2019-02-22 12:40:00,1042.8666666666668
221,2019-02-22 12:50:00,1042.8833333333334
222,2019-02-22 13:00:00,1042.9
223,2019-02-22 13:10:00,1042.9666666666667
224,2019-02-22 13:20:00,1043.0333333333333
225,2019-02-22 13:30:00,1043.1
226,2019-02-22 13:40:00,1043.1666666666667
227,2019-02-22 13:50:00,1043.2333333333333
228,2019-02-22 14:00:00,1043.3
229,2019-02-22 14:10:00,1043.3166666666666
230,2019-02-22 14:20:00,1043.3333333333333
231,2019-02-22 14:30:00,1043.35
232,2019-02-22 14:40:00,1043.3666666666668
233,2019-02-22 14:50:00,1043.3833333333334
234,2019-02-22 15:00:00,1043.4
235,2019-02-22 15:10:00,1043.4166666666667
236,2019-02-22 15:20:00,1043.4333333333334
237,2019-02-22 15:30:00,1043.45
238,2019-02-22 15:40:00,1043.4666666666667
239,2019-02-22 15:50:00,1043.4833333333333
240,2019-02-22 16:00:00,1043.5
241,2019-02-22 16:10:00,1043.5833333333333
242,2019-02-22 16:20:00,1043.6666666666667
243,2019-02-22 16:30:00,1043.75
244,2019-02-22 16:40:00,1043.8333333333333
245,2019-02-22 16:50:00,1043.9166666666667
246,2019-02-22 17:00:00,1044.0
247,2019-02-22 17:10:00,1044.05
248,2019-02-22 17:20:00,1044.1
249,2019-02-22 17:30:00,1044.15
250,2019-02-22 17:40:00,1044.2
251,2019-02-22 17:50:00,1044.25
252,2019-02-22 18:00:00,1044.3
253,2019-02-22 18:10:00,1044.3666666666666
254,2019-02-22 18:20:00,1044.4333333333334
255,2019-02-22 18:30:00,1044.5
256,2019-02-22 18:40:00,1044.5666666666666
257,2019-02-22 18:50:00,1044.6333333333334
258,2019-02-22 19:00:00,1044.7
259,2019-02-22 19:10:00,1044.65
260,2019-02-22 19:20:00,1044.6000000000001
261,2019-02-22 19:30:00,1044.5500000000002
262,2019-02-22 19:40:00,1044.5
263,2019-02-22 19:50:00,1044.45
264,2019-02-22 20:00:00,1044.4
265,2019-02-22 20:10:00,1044.4166666666667
266,2019-02-22 20:20:00,1044.4333333333334
267,2019-02-22 20:30:00,1044.45
268,2019-02-22 20:40:00,1044.4666666666667
269,2019-02-22 20:50:00,1044.4833333333333
270,2019-02-22 21:00:00,1044.5
271,2019-02-22 21:10:00,1044.5166666666667
272,2019-02-22 21:20:00,1044.5333333333333
273,2019-02-22 21:30:00,1044.55
274,2019-02-22 21:40:00,1044.5666666666666
275,2019-02-22 21:50:00,1044.5833333333333
276,2019-02-22 22:00:00,1044.6
277,2019-02-22 22:10:00,1044.6666666666665
278,2019-02-22 22:20:00,1044.7333333333333
279,2019-02-22 22:30:00,1044.8
280,2019-02-22 22:40:00,1044.8666666666666
281,2019-02-22 22:50:00,1044.9333333333334
282,2019-02-22 23:00:00,1045.0
283,2019-02-22 23:10:00,1044.9721088435374
284,2019-02-22 23:20:00,1044.9442176870748
285,2019-02-22 23:30:00,1044.9163265306122
286,2019-02-22 23:40:00,1044.8884353741496
287,2019-02-22 23:50:00,1044.860544217687
288,2019-02-23 00:00:00,1044.8326530612244
289,2019-02-23 00:10:00,1044.804761904762
290,2019-02-23 00:20:00,1044.7768707482994
291,2019-02-23 00:30:00,1044.7489795918368
292,2019-02-23 00:40:00,1044.7210884353742
293,2019-02-23 00:50:00,1044.6931972789116
294,2019-02-23 01:00:00,1044.665306122449
295,2019-02-23 01:10:00,1044.6374149659864
296,2019-02-23 01:20:00,1044.6095238095238
297,2019-02-23 01:30:00,1044.5816326530612
298,2019-02-23 01:40:00,1044.5537414965986
299,2019-02-23 01:50:00,1044.525850340136
300,2019-02-23 02:00:00,1044.4979591836734
301,2019-02-23 02:10:00,1044.4700680272108
302,2019-02-23 02:20:00,1044.4421768707482
303,2019-02-23 02:30:00,1044.4142857142856
304,2019-02-23 02:40:00,1044.3863945578232
305,2019-02-23 02:50:00,1044.3585034013606
